,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
2059,"p[-0.523036,-0.0747079,0.52,-0.3,3.14,0]","p[-0.330781,-0.0360457,0.52,-0.3,3.14,0]",0.253709,1,0,1,2,3,0,255,"p[-10.3663,-27.0574,7.36945,2.90793,-1.62855,-1.64118]",1,1.0
2060,"p[-0.359649,-0.0372886,0.52,-0.3,3.14,0]","p[-0.486373,0.0706363,0.52,-0.3,3.14,0]",-2.36661,1,0,1,3,3,0,255,"p[-19.7551,-15.3209,22.3003,1.59453,-4.46461,-1.62339]",0,1.0
2061,"p[-0.634463,-0.0251778,0.52,-0.3,3.14,0]","p[-0.50979,-0.00398399,0.52,-0.3,3.14,0]",2.10969,1,0,1,1,3,0,255,"p[-18.2185,-18.9441,20.7898,2.17634,-4.6637,-2.27341]",0,1.0
2062,"p[-0.323426,0.0447654,0.52,-0.3,3.14,0]","p[-0.491824,0.120931,0.52,-0.3,3.14,0]",0.607112,1,0,1,2,3,0,255,"p[-10.7484,-7.67024,17.1576,1.05659,-2.89124,-0.469935]",1,1.0
2063,"p[-0.661319,0.0510293,0.52,-0.3,3.14,0]","p[-0.336274,0.0406858,0.52,-0.3,3.14,0]",2.26668,1,0,1,2,3,0,255,"p[-15.6059,-24.822,16.2015,2.31322,-4.86157,-1.20049]",1,1.0
2064,"p[-0.325395,0.265174,0.52,-0.3,3.14,0]","p[-0.464481,-0.141193,0.52,-0.3,3.14,0]",1.26192,1,0,1,2,3,0,255,"p[0.215936,-9.14487,6.20292,1.07296,-0.374334,-1.18995]",1,1.0
2065,"p[-0.50278,0.0295046,0.52,-0.3,3.14,0]","p[-0.616674,-0.0208212,0.52,-0.3,3.14,0]",1.87324,1,0,1,3,3,0,255,"p[-8.64434,-6.06847,16.7371,1.20527,-4.26207,-0.123609]",0,1.0
2066,"p[-0.505093,0.117804,0.52,-0.3,3.14,0]","p[-0.548321,0.0461226,0.52,-0.3,3.14,0]",-1.8432,1,0,1,3,3,0,255,"p[-24.9129,-8.52068,28.215,0.294505,-6.42992,-0.541616]",0,1.0
2067,"p[-0.468545,0.159227,0.52,-0.3,3.14,0]","p[-0.609142,-0.0304552,0.52,-0.3,3.14,0]",2.34138,1,0,1,3,3,0,255,"p[-12.3386,-9.42035,16.4339,2.11336,-4.30721,-2.41812]",0,1.0
2068,"p[-0.355676,0.234059,0.52,-0.3,3.14,0]","p[-0.584156,-0.14638,0.52,-0.3,3.14,0]",-1.63778,1,0,1,3,3,0,255,"p[-19.6719,-11.9202,20.6349,1.77821,-5.04823,-1.13662]",0,1.0
