,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
6938,"p[-0.458343,-0.356492,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499963,-1.5096,2.68374,0.000114027]",-0.590596,1,0,1,3,3,0,255,"p[-8.41508,-21.1751,5.31122,2.03793,-0.0783307,-0.725748]",0
6939,"p[-0.41957,-0.514813,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500012,-1.50949,2.68378,-0.000212382]",2.072,1,0,1,3,3,0,255,"p[-7.96397,-25.9279,8.45599,3.34784,-1.15625,-1.20508]",0
6940,"p[-0.434224,-0.426025,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.49997,-1.50946,2.68373,-0.000105733]",2.7912,1,0,1,3,3,0,255,"p[-11.0183,-21.3281,10.1469,3.09133,-2.4925,-1.20398]",0
6941,"p[-0.379148,-0.471804,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499975,-1.50969,2.68359,-0.00020825]",0.823165,1,0,1,3,3,0,255,"p[-8.79305,-25.2526,5.79709,2.15313,0.0265756,-0.356985]",0
6942,"p[-0.367156,-0.347273,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499914,-1.50955,2.68365,0.000108634]",0.344695,1,0,1,3,3,0,255,"p[-7.69807,-21.1501,3.85111,1.67434,0.398677,-0.831997]",0
6943,"p[-0.523435,-0.300475,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500011,-1.5099,2.68362,-6.1605e-05]",1.51896,1,0,1,3,3,0,255,"p[-8.43214,-22.7001,4.24714,1.78266,0.0729376,-1.65616]",0
6944,"p[-0.472822,-0.436359,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500013,-1.50967,2.68383,-6.37525e-06]",3.02401,1,0,1,3,3,0,255,"p[-10.8907,-23.0227,10.4604,3.21509,-2.10602,0.382361]",0
6945,"p[-0.444363,-0.413574,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500004,-1.5097,2.68375,1.03494e-05]",-1.60422,1,0,1,3,3,0,255,"p[-10.1625,-20.021,7.66274,3.18697,-1.87377,0.202843]",0
6946,"p[-0.524454,-0.386718,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500031,-1.50963,2.68384,-7.58486e-05]",2.39256,1,0,1,3,3,0,255,"p[-9.99505,-24.328,8.54322,3.03522,-1.47494,-1.07509]",0
6947,"p[-0.385528,-0.218187,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499986,-1.50973,2.68373,-0.000192237]",-0.830322,1,0,1,3,3,0,255,"p[-7.07418,-24.0119,4.48769,2.60666,-0.178283,-2.53901]",0
6948,"p[-0.501219,-0.376051,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500097,-1.50979,2.68399,-0.000151432]",-2.78775,1,0,1,3,3,0,255,"p[-9.68198,-23.7592,9.48668,2.66546,-2.56572,-1.24375]",0
6949,"p[-0.437524,-0.33689,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499961,-1.50969,2.6837,5.77898e-06]",-1.08535,1,0,1,3,3,0,255,"p[-9.10752,-24.2068,7.93179,3.14641,-1.28923,-1.44982]",0
6950,"p[-0.344308,-0.416772,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499983,-1.50954,2.68377,-0.000181043]",-3.10652,1,0,1,3,3,0,255,"p[-10.2012,-20.1555,8.45589,2.82487,-1.84202,-2.86531]",0
6951,"p[-0.404196,-0.425407,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500037,-1.50993,2.68381,-0.000137145]",-1.16412,1,0,1,3,3,0,255,"p[-11.0591,-19.8215,6.55325,2.3637,-1.14021,0.654757]",0
6952,"p[-0.46984,-0.371304,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499955,-1.50969,2.6838,-0.000119579]",1.12073,1,0,1,3,3,0,255,"p[-7.94703,-22.419,4.54369,1.4474,0.152783,-1.47044]",0
6953,"p[-0.456519,-0.29813,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.5,-1.50968,2.68377,1.98118e-05]",0.919329,1,0,1,3,3,0,255,"p[-10.0027,-19.4333,4.11918,1.68772,0.0742954,-0.151283]",0
6954,"p[-0.50247,-0.341695,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500014,-1.50985,2.68375,-7.13757e-05]",-2.22037,1,0,1,3,3,0,255,"p[-10.0334,-23.6772,8.62875,3.26496,-1.97396,-0.616554]",0
6955,"p[-0.476769,-0.463181,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500081,-1.50971,2.68386,-0.000211362]",-2.05294,1,0,1,3,3,0,255,"p[-10.111,-23.9989,9.10202,3.74327,-1.81943,-0.656763]",0
6956,"p[-0.418274,-0.299238,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.49998,-1.5097,2.6838,-2.48707e-05]",0.299848,1,0,1,3,3,0,255,"p[-7.04256,-24.5137,3.25371,1.73524,0.295217,-1.79566]",0
6957,"p[-0.464627,-0.465456,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500034,-1.50967,2.68376,-0.0002704]",0.579883,1,0,1,3,3,0,255,"p[-9.1379,-21.0562,5.20676,1.3638,-0.809871,-0.151958]",0
6958,"p[-0.46757,-0.378843,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500014,-1.50992,2.68375,-8.37782e-05]",1.64899,1,0,1,3,3,0,255,"p[-10.3701,-24.1397,7.00515,2.06035,-0.423606,-0.41977]",0
6959,"p[-0.417753,-0.44229,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499994,-1.50961,2.68376,-0.000171232]",0.16016,1,0,1,3,3,0,255,"p[-8.44993,-26.2792,7.4722,3.48181,-0.539661,-2.28656]",0
6960,"p[-0.360988,-0.268481,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500028,-1.50994,2.68377,1.98529e-05]",0.319343,1,0,1,3,3,0,255,"p[-7.51435,-23.3237,2.83875,1.9006,0.811275,-1.85821]",0
6961,"p[-0.377382,-0.34183,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499964,-1.50958,2.68373,-9.29469e-05]",-2.69864,1,0,1,3,3,0,255,"p[-9.4014,-25.2685,9.37982,3.69834,-1.65002,-2.51032]",0
